classe;tipo;cultivar;nome_cultivar;ano;kg
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;1972-01-01;67464
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;1973-01-01;58690
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;1974-01-01;138158
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;1975-01-01;101454
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;1976-01-01;57297
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;1977-01-01;0
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;1978-01-01;0
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;1979-01-01;29525
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;1980-01-01;37404
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;1981-01-01;37893
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;1982-01-01;0
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;1983-01-01;46640
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;1984-01-01;46767
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;1985-01-01;55878
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;1986-01-01;26538
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;1987-01-01;40547
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;1988-01-01;0
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;1989-01-01;0
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;1990-01-01;0
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;1991-01-01;0
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;1992-01-01;0
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;1993-01-01;0
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;1994-01-01;0
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;1995-01-01;0
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;1996-01-01;0
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;1997-01-01;0
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;1998-01-01;0
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;1999-01-01;0
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;2000-01-01;0
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;2001-01-01;0
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;2002-01-01;18100
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;2003-01-01;15505
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;2004-01-01;17570
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;2005-01-01;21520
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;2006-01-01;11545
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;2007-01-01;12070
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;2008-01-01;16780
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;2009-01-01;10810
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;2010-01-01;7850
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;2011-01-01;12930
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;2012-01-01;3820
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;2013-01-01;2990
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;2014-01-01;3900
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;2015-01-01;0
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;2016-01-01;0
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;2017-01-01;0
Americanas e hibridas;TINTAS;ti_Bacarina;Bacarina;2018-01-01;0
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;1972-01-01;0
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;1973-01-01;0
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;1974-01-01;0
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;1975-01-01;0
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;1976-01-01;0
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;1977-01-01;0
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;1978-01-01;0
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;1979-01-01;0
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;1980-01-01;0
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;1981-01-01;0
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;1982-01-01;0
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;1983-01-01;0
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;1984-01-01;0
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;1985-01-01;0
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;1986-01-01;0
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;1987-01-01;0
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;1988-01-01;0
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;1989-01-01;0
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;1990-01-01;0
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;1991-01-01;0
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;1992-01-01;0
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;1993-01-01;0
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;1994-01-01;0
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;1995-01-01;0
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;1996-01-01;0
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;1997-01-01;0
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;1998-01-01;0
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;1999-01-01;0
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;2000-01-01;0
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;2001-01-01;425674
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;2002-01-01;12421
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;2003-01-01;7917
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;2004-01-01;35614
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;2005-01-01;66503
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;2006-01-01;94805
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;2007-01-01;236139
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;2008-01-01;235828
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;2009-01-01;559815
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;2010-01-01;604895
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;2011-01-01;769140
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;2012-01-01;912286
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;2013-01-01;756000
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;2014-01-01;991449
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;2015-01-01;963159
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;2016-01-01;442784
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;2017-01-01;1370092
Americanas e hibridas;TINTAS;ti_Bailey;Bailey;2018-01-01;539742
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;1972-01-01;6530686
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;1973-01-01;5584243
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;1974-01-01;13341412
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;1975-01-01;16023998
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;1976-01-01;12725233
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;1977-01-01;18714617
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;1978-01-01;22247163
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;1979-01-01;20061699
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;1980-01-01;16495642
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;1981-01-01;20525530
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;1982-01-01;26385123
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;1983-01-01;14872674
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;1984-01-01;22146292
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;1985-01-01;36787283
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;1986-01-01;23956474
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;1987-01-01;22318163
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;1988-01-01;34047360
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;1989-01-01;32102192
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;1990-01-01;32681255
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;1991-01-01;28036345
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;1992-01-01;32595535
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;1993-01-01;31680138
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;1994-01-01;35680856
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;1995-01-01;36409536
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;1996-01-01;31280138
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;1997-01-01;32904803
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;1998-01-01;34014727
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;1999-01-01;40736069
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;2000-01-01;52382471
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;2001-01-01;42098781
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;2002-01-01;54989827
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;2003-01-01;39213494
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;2004-01-01;70888283
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;2005-01-01;64174362
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;2006-01-01;54568468
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;2007-01-01;76907674
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;2008-01-01;97644667
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;2009-01-01;69521354
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;2010-01-01;89066377
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;2011-01-01;139754250
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;2012-01-01;127378006
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;2013-01-01;102788361
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;2014-01-01;113008320
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;2015-01-01;137467196
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;2016-01-01;60976531
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;2017-01-01;160146475
Americanas e hibridas;TINTAS;ti_Bordo;Bordo;2018-01-01;158405972
Americanas e hibridas;TINTAS;ti_Bourdin (S);Bourdin (S);1972-01-01;0
Americanas e hibridas;TINTAS;ti_Bourdin (S);Bourdin (S);1973-01-01;0
Americanas e hibridas;TINTAS;ti_Bourdin (S);Bourdin (S);1974-01-01;0
Americanas e hibridas;TINTAS;ti_Bourdin (S);Bourdin (S);1975-01-01;0
Americanas e hibridas;TINTAS;ti_Bourdin (S);Bourdin (S);1976-01-01;0
Americanas e hibridas;TINTAS;ti_Bourdin (S);Bourdin (S);1977-01-01;0
Americanas e hibridas;TINTAS;ti_Bourdin (S);Bourdin (S);1978-01-01;0
Americanas e hibridas;TINTAS;ti_Bourdin (S);Bourdin (S);1979-01-01;0
Americanas e hibridas;TINTAS;ti_Bourdin (S);Bourdin (S);1980-01-01;0
Americanas e hibridas;TINTAS;ti_Bourdin (S);Bourdin (S);1981-01-01;0
Americanas e hibridas;TINTAS;ti_Bourdin (S);Bourdin (S);1982-01-01;0
Americanas e hibridas;TINTAS;ti_Bourdin (S);Bourdin (S);1983-01-01;0
Americanas e hibridas;TINTAS;ti_Bourdin (S);Bourdin (S);1984-01-01;0
Americanas e hibridas;TINTAS;ti_Bourdin (S);Bourdin (S);1985-01-01;0
Americanas e hibridas;TINTAS;ti_Bourdin (S);Bourdin (S);1986-01-01;0
Americanas e hibridas;TINTAS;ti_Bourdin (S);Bourdin (S);1987-01-01;0
Americanas e hibridas;TINTAS;ti_Bourdin (S);Bourdin (S);1988-01-01;0
Americanas e hibridas;TINTAS;ti_Bourdin (S);Bourdin (S);1989-01-01;0
Americanas e hibridas;TINTAS;ti_Bourdin (S);Bourdin (S);1990-01-01;0
Americanas e hibridas;TINTAS;ti_Bourdin (S);Bourdin (S);1991-01-01;0
Americanas e hibridas;TINTAS;ti_Bourdin (S);Bourdin (S);1992-01-01;0
Americanas e hibridas;TINTAS;ti_Bourdin (S);Bourdin (S);1993-01-01;0
