index;classe;classificacao;nome_classificacao;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
2;VINHO DE MESA;vm_Tinto;  Tinto;83300735;98522869;101167932;98196747;77167303;91528090;116407222;116609545;117203914;119496652;99646124;99151812;131957890;151852639;129249097;138710394;153357217;96590206;114100716;136642954;120889721;141726264;138190489;157031022;140192480;108968350;122549540;127693158;133479291;150857434;172183792;176793696;181274195;179225328;186236086;227987458;209438207;190526781;172020779;193004182;188649074;196562722;173964776;188033494;178250072;182028785;146646365;154309442;155115499;158519218
3;VINHO DE MESA;vm_Rosado;  Rosado;107681;542274;7770851;8425617;8891367;7261777;11748047;15195525;14612454;18643308;14746625;16360547;15786964;23841328;21724540;23988088;28544630;21376304;17329181;14564451;16482188;16322381;12822511;13767249;13762956;11653971;13374874;13550872;12980172;13221934;9150927;7283912;8434812;6945806;5478618;3562059;3071382;2252558;1840779;2307580;2036928;1668823;1738134;1777648;1419855;1409002;1391942;1097426;1972944;1265435
4;VINHO DE MESA;vm_Branco;  Branco;14919190;15333888;9438584;9995546;8114654;9241925;11083345;9008044;9477011;11469152;8432549;13382221;19116918;19922653;20645870;22493355;21228171;13098681;19248750;21713862;27353737;32086250;29217431;30370209;26339930;25961507;29907022;33524608;35117186;36499378;39688884;37440616;37738385;30911825;33307126;39698976;33116025;29122090;26627054;39214217;30556943;32078923;31266661;31779668;26734500;25760681;18731315;20653091;20097830;20661836
6;VINHO DE MESA;vm_Tinto;  Tinto;435354;428927;624499;783508;1616144;2050960;4450570;4504303;4920802;6360276;7244385;7403644;7699010;9811525;14797285;13133683;15664511;10144561;11713661;14737896;11141857;9015204;10712402;11988665;13290842;12299213;13540528;18303579;11925188;14706398;15119076;12112495;12109658;12559693;10859722;13335767;13920655;13872339;13920224;19576295;15184398;14876896;15443016;19121750;15354938;15572632;15228514;12021684;11150517;11433702
7;VINHO DE MESA;vm_Rosado;  Rosado;183234;227299;403664;1377333;1725564;2130619;3118919;3248565;3501895;4119615;5096819;2738962;3608877;3548807;3714334;3510330;3685709;2328264;1939881;2596587;1583368;1342140;1130509;1639949;1631454;1540910;1457704;1997373;1585687;1479987;1021310;790176;650263;579724;390371;472971;307189;416285;313513;213835;236802;211484;150806;214269;164219;169185;172351;182080;262430;503524
8;VINHO DE MESA;vm_Branco;  Branco;3812041;4184143;4573928;5041989;4230094;4666724;6526159;7222462;9174259;11215938;10635138;11465251;14995041;19329787;23652774;27955194;31531559;21863035;26360844;33055779;27160034;27168767;27694149;36287498;31619622;26355378;28697539;26141257;18945443;20910186;18055443;15798987;12678829;10153754;8634273;8497266;8539514;7197075;8934001;13290140;5968959;4878930;6876128;8576915;4905826;4399814;4229293;3670590;3413196;3747362
20;SUCO;su_Suco_Natural;   Suco Natural Integral;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;131628685
21;SUCO;su_Suco_Reprocessado;   Suco Reprocessado/reconstituido;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7759932
22;SUCO;su_Suco_Orgânico;   Suco Orgânico;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;416849
23;SUCO;su_Outros_sucos;   Outros sucos de uvas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8102151
