classe;control;produto;ano;litros
VINHO DE MESA;vm_Tinto;  Tinto;1970-01-01;83300735
VINHO DE MESA;vm_Tinto;  Tinto;1971-01-01;98522869
VINHO DE MESA;vm_Tinto;  Tinto;1972-01-01;101167932
VINHO DE MESA;vm_Tinto;  Tinto;1973-01-01;98196747
VINHO DE MESA;vm_Tinto;  Tinto;1974-01-01;77167303
VINHO DE MESA;vm_Tinto;  Tinto;1975-01-01;91528090
VINHO DE MESA;vm_Tinto;  Tinto;1976-01-01;116407222
VINHO DE MESA;vm_Tinto;  Tinto;1977-01-01;116609545
VINHO DE MESA;vm_Tinto;  Tinto;1978-01-01;117203914
VINHO DE MESA;vm_Tinto;  Tinto;1979-01-01;119496652
VINHO DE MESA;vm_Tinto;  Tinto;1980-01-01;99646124
VINHO DE MESA;vm_Tinto;  Tinto;1981-01-01;99151812
VINHO DE MESA;vm_Tinto;  Tinto;1982-01-01;131957890
VINHO DE MESA;vm_Tinto;  Tinto;1983-01-01;151852639
VINHO DE MESA;vm_Tinto;  Tinto;1984-01-01;129249097
VINHO DE MESA;vm_Tinto;  Tinto;1985-01-01;138710394
VINHO DE MESA;vm_Tinto;  Tinto;1986-01-01;153357217
VINHO DE MESA;vm_Tinto;  Tinto;1987-01-01;96590206
VINHO DE MESA;vm_Tinto;  Tinto;1988-01-01;114100716
VINHO DE MESA;vm_Tinto;  Tinto;1989-01-01;136642954
VINHO DE MESA;vm_Tinto;  Tinto;1990-01-01;120889721
VINHO DE MESA;vm_Tinto;  Tinto;1991-01-01;141726264
VINHO DE MESA;vm_Tinto;  Tinto;1992-01-01;138190489
VINHO DE MESA;vm_Tinto;  Tinto;1993-01-01;157031022
VINHO DE MESA;vm_Tinto;  Tinto;1994-01-01;140192480
VINHO DE MESA;vm_Tinto;  Tinto;1995-01-01;108968350
VINHO DE MESA;vm_Tinto;  Tinto;1996-01-01;122549540
VINHO DE MESA;vm_Tinto;  Tinto;1997-01-01;127693158
VINHO DE MESA;vm_Tinto;  Tinto;1998-01-01;133479291
VINHO DE MESA;vm_Tinto;  Tinto;1999-01-01;150857434
VINHO DE MESA;vm_Tinto;  Tinto;2000-01-01;172183792
VINHO DE MESA;vm_Tinto;  Tinto;2001-01-01;176793696
VINHO DE MESA;vm_Tinto;  Tinto;2002-01-01;181274195
VINHO DE MESA;vm_Tinto;  Tinto;2003-01-01;179225328
VINHO DE MESA;vm_Tinto;  Tinto;2004-01-01;186236086
VINHO DE MESA;vm_Tinto;  Tinto;2005-01-01;227987458
VINHO DE MESA;vm_Tinto;  Tinto;2006-01-01;209438207
VINHO DE MESA;vm_Tinto;  Tinto;2007-01-01;190526781
VINHO DE MESA;vm_Tinto;  Tinto;2008-01-01;172020779
VINHO DE MESA;vm_Tinto;  Tinto;2009-01-01;193004182
VINHO DE MESA;vm_Tinto;  Tinto;2010-01-01;188649074
VINHO DE MESA;vm_Tinto;  Tinto;2011-01-01;196562722
VINHO DE MESA;vm_Tinto;  Tinto;2012-01-01;173964776
VINHO DE MESA;vm_Tinto;  Tinto;2013-01-01;188033494
VINHO DE MESA;vm_Tinto;  Tinto;2014-01-01;178250072
VINHO DE MESA;vm_Tinto;  Tinto;2015-01-01;182028785
VINHO DE MESA;vm_Tinto;  Tinto;2016-01-01;146646365
VINHO DE MESA;vm_Tinto;  Tinto;2017-01-01;154309442
VINHO DE MESA;vm_Tinto;  Tinto;2018-01-01;155115499
VINHO DE MESA;vm_Tinto;  Tinto;2019-01-01;158519218
VINHO DE MESA;vm_Tinto;  Tinto;2020-01-01;189573423
VINHO DE MESA;vm_Tinto;  Tinto;2021-01-01;185653678
VINHO DE MESA;vm_Tinto;  Tinto;2022-01-01;165067340
VINHO DE MESA;vm_Rosado;  Rosado;1970-01-01;107681
VINHO DE MESA;vm_Rosado;  Rosado;1971-01-01;542274
VINHO DE MESA;vm_Rosado;  Rosado;1972-01-01;7770851
VINHO DE MESA;vm_Rosado;  Rosado;1973-01-01;8425617
VINHO DE MESA;vm_Rosado;  Rosado;1974-01-01;8891367
VINHO DE MESA;vm_Rosado;  Rosado;1975-01-01;7261777
VINHO DE MESA;vm_Rosado;  Rosado;1976-01-01;11748047
VINHO DE MESA;vm_Rosado;  Rosado;1977-01-01;15195525
VINHO DE MESA;vm_Rosado;  Rosado;1978-01-01;14612454
VINHO DE MESA;vm_Rosado;  Rosado;1979-01-01;18643308
VINHO DE MESA;vm_Rosado;  Rosado;1980-01-01;14746625
VINHO DE MESA;vm_Rosado;  Rosado;1981-01-01;16360547
VINHO DE MESA;vm_Rosado;  Rosado;1982-01-01;15786964
VINHO DE MESA;vm_Rosado;  Rosado;1983-01-01;23841328
VINHO DE MESA;vm_Rosado;  Rosado;1984-01-01;21724540
VINHO DE MESA;vm_Rosado;  Rosado;1985-01-01;23988088
VINHO DE MESA;vm_Rosado;  Rosado;1986-01-01;28544630
VINHO DE MESA;vm_Rosado;  Rosado;1987-01-01;21376304
VINHO DE MESA;vm_Rosado;  Rosado;1988-01-01;17329181
VINHO DE MESA;vm_Rosado;  Rosado;1989-01-01;14564451
VINHO DE MESA;vm_Rosado;  Rosado;1990-01-01;16482188
VINHO DE MESA;vm_Rosado;  Rosado;1991-01-01;16322381
VINHO DE MESA;vm_Rosado;  Rosado;1992-01-01;12822511
VINHO DE MESA;vm_Rosado;  Rosado;1993-01-01;13767249
VINHO DE MESA;vm_Rosado;  Rosado;1994-01-01;13762956
VINHO DE MESA;vm_Rosado;  Rosado;1995-01-01;11653971
VINHO DE MESA;vm_Rosado;  Rosado;1996-01-01;13374874
VINHO DE MESA;vm_Rosado;  Rosado;1997-01-01;13550872
VINHO DE MESA;vm_Rosado;  Rosado;1998-01-01;12980172
VINHO DE MESA;vm_Rosado;  Rosado;1999-01-01;13221934
