classe;pais;ano;kg;valor
Espumantes;Africa do Sul;1971-01-01;0;0
Espumantes;Africa do Sul;1972-01-01;0;0
Espumantes;Africa do Sul;1973-01-01;0;0
Espumantes;Africa do Sul;1974-01-01;0;0
Espumantes;Africa do Sul;1975-01-01;0;0
Espumantes;Africa do Sul;1976-01-01;0;0
Espumantes;Africa do Sul;1977-01-01;0;0
Espumantes;Africa do Sul;1978-01-01;0;0
Espumantes;Africa do Sul;1979-01-01;0;0
Espumantes;Africa do Sul;1980-01-01;0;0
Espumantes;Africa do Sul;1981-01-01;0;0
Espumantes;Africa do Sul;1982-01-01;0;0
Espumantes;Africa do Sul;1983-01-01;0;0
Espumantes;Africa do Sul;1984-01-01;0;0
Espumantes;Africa do Sul;1985-01-01;0;0
Espumantes;Africa do Sul;1986-01-01;0;0
Espumantes;Africa do Sul;1987-01-01;0;0
Espumantes;Africa do Sul;1988-01-01;0;0
Espumantes;Africa do Sul;1989-01-01;0;0
Espumantes;Africa do Sul;1990-01-01;0;0
Espumantes;Africa do Sul;1991-01-01;0;0
Espumantes;Africa do Sul;1992-01-01;0;0
Espumantes;Africa do Sul;1993-01-01;0;0
Espumantes;Africa do Sul;1994-01-01;0;0
Espumantes;Africa do Sul;1995-01-01;0;0
Espumantes;Africa do Sul;1996-01-01;0;0
Espumantes;Africa do Sul;1997-01-01;0;0
Espumantes;Africa do Sul;1998-01-01;0;0
Espumantes;Africa do Sul;1999-01-01;0;0
Espumantes;Africa do Sul;2000-01-01;0;0
Espumantes;Africa do Sul;2001-01-01;0;0
Espumantes;Africa do Sul;2002-01-01;0;0
Espumantes;Africa do Sul;2003-01-01;5546;6475
Espumantes;Africa do Sul;2004-01-01;59;259
Espumantes;Africa do Sul;2005-01-01;520;2320
Espumantes;Africa do Sul;2006-01-01;275;1460
Espumantes;Africa do Sul;2007-01-01;90;1073
Espumantes;Africa do Sul;2008-01-01;9212;30630
Espumantes;Africa do Sul;2009-01-01;10381;42463
Espumantes;Africa do Sul;2010-01-01;8121;37035
Espumantes;Africa do Sul;2011-01-01;20213;123099
Espumantes;Africa do Sul;2012-01-01;24954;133975
Espumantes;Africa do Sul;2013-01-01;26985;158325
Espumantes;Africa do Sul;2014-01-01;18659;114275
Espumantes;Africa do Sul;2015-01-01;19686;96316
Espumantes;Africa do Sul;2016-01-01;7394;50715
Espumantes;Africa do Sul;2017-01-01;4913;23919
Espumantes;Africa do Sul;2018-01-01;15368;74800
Espumantes;Africa do Sul;2019-01-01;17583;72077
Espumantes;Alemanha;1971-01-01;25;36
Espumantes;Alemanha;1972-01-01;2864;2479
Espumantes;Alemanha;1973-01-01;2900;3130
Espumantes;Alemanha;1974-01-01;1667;2128
Espumantes;Alemanha;1975-01-01;355;937
Espumantes;Alemanha;1976-01-01;1947;1880
Espumantes;Alemanha;1977-01-01;840;982
Espumantes;Alemanha;1978-01-01;420;1059
Espumantes;Alemanha;1979-01-01;1020;3901
Espumantes;Alemanha;1980-01-01;332;1175
Espumantes;Alemanha;1981-01-01;753;1860
Espumantes;Alemanha;1982-01-01;117270;101714
Espumantes;Alemanha;1983-01-01;215712;193026
Espumantes;Alemanha;1984-01-01;3360;3130
Espumantes;Alemanha;1985-01-01;0;0
Espumantes;Alemanha;1986-01-01;32490;37388
Espumantes;Alemanha;1987-01-01;1800;2000
Espumantes;Alemanha;1988-01-01;450;534
Espumantes;Alemanha;1989-01-01;9000;17431
