classe;control;cultivar;ano;kg
TINTAS;ti_Bacarina;Bacarina;1970-01-01;82899
TINTAS;ti_Bacarina;Bacarina;1971-01-01;106962
TINTAS;ti_Bacarina;Bacarina;1972-01-01;67464
TINTAS;ti_Bacarina;Bacarina;1973-01-01;58690
TINTAS;ti_Bacarina;Bacarina;1974-01-01;138158
TINTAS;ti_Bacarina;Bacarina;1975-01-01;101454
TINTAS;ti_Bacarina;Bacarina;1976-01-01;57297
TINTAS;ti_Bacarina;Bacarina;1977-01-01;0
TINTAS;ti_Bacarina;Bacarina;1978-01-01;0
TINTAS;ti_Bacarina;Bacarina;1979-01-01;29525
TINTAS;ti_Bacarina;Bacarina;1980-01-01;37404
TINTAS;ti_Bacarina;Bacarina;1981-01-01;37893
TINTAS;ti_Bacarina;Bacarina;1982-01-01;0
TINTAS;ti_Bacarina;Bacarina;1983-01-01;46640
TINTAS;ti_Bacarina;Bacarina;1984-01-01;46767
TINTAS;ti_Bacarina;Bacarina;1985-01-01;55878
TINTAS;ti_Bacarina;Bacarina;1986-01-01;26538
TINTAS;ti_Bacarina;Bacarina;1987-01-01;40547
TINTAS;ti_Bacarina;Bacarina;1988-01-01;0
TINTAS;ti_Bacarina;Bacarina;1989-01-01;0
TINTAS;ti_Bacarina;Bacarina;1990-01-01;0
TINTAS;ti_Bacarina;Bacarina;1991-01-01;0
TINTAS;ti_Bacarina;Bacarina;1992-01-01;0
TINTAS;ti_Bacarina;Bacarina;1993-01-01;0
TINTAS;ti_Bacarina;Bacarina;1994-01-01;0
TINTAS;ti_Bacarina;Bacarina;1995-01-01;0
TINTAS;ti_Bacarina;Bacarina;1996-01-01;0
TINTAS;ti_Bacarina;Bacarina;1997-01-01;0
TINTAS;ti_Bacarina;Bacarina;1998-01-01;0
TINTAS;ti_Bacarina;Bacarina;1999-01-01;0
TINTAS;ti_Bacarina;Bacarina;2000-01-01;0
TINTAS;ti_Bacarina;Bacarina;2001-01-01;0
TINTAS;ti_Bacarina;Bacarina;2002-01-01;18100
TINTAS;ti_Bacarina;Bacarina;2003-01-01;15505
TINTAS;ti_Bacarina;Bacarina;2004-01-01;17570
TINTAS;ti_Bacarina;Bacarina;2005-01-01;21520
TINTAS;ti_Bacarina;Bacarina;2006-01-01;11545
TINTAS;ti_Bacarina;Bacarina;2007-01-01;12070
TINTAS;ti_Bacarina;Bacarina;2008-01-01;16780
TINTAS;ti_Bacarina;Bacarina;2009-01-01;10810
TINTAS;ti_Bacarina;Bacarina;2010-01-01;7850
TINTAS;ti_Bacarina;Bacarina;2011-01-01;12930
TINTAS;ti_Bacarina;Bacarina;2012-01-01;3820
TINTAS;ti_Bacarina;Bacarina;2013-01-01;2990
TINTAS;ti_Bacarina;Bacarina;2014-01-01;3900
TINTAS;ti_Bacarina;Bacarina;2015-01-01;0
TINTAS;ti_Bacarina;Bacarina;2016-01-01;0
TINTAS;ti_Bacarina;Bacarina;2017-01-01;0
TINTAS;ti_Bacarina;Bacarina;2018-01-01;0
TINTAS;ti_Bacarina;Bacarina;2019-01-01;nd
TINTAS;ti_Bailey;Bailey;1970-01-01;0
TINTAS;ti_Bailey;Bailey;1971-01-01;0
TINTAS;ti_Bailey;Bailey;1972-01-01;0
TINTAS;ti_Bailey;Bailey;1973-01-01;0
TINTAS;ti_Bailey;Bailey;1974-01-01;0
TINTAS;ti_Bailey;Bailey;1975-01-01;0
TINTAS;ti_Bailey;Bailey;1976-01-01;0
TINTAS;ti_Bailey;Bailey;1977-01-01;0
TINTAS;ti_Bailey;Bailey;1978-01-01;0
TINTAS;ti_Bailey;Bailey;1979-01-01;0
TINTAS;ti_Bailey;Bailey;1980-01-01;0
TINTAS;ti_Bailey;Bailey;1981-01-01;0
TINTAS;ti_Bailey;Bailey;1982-01-01;0
TINTAS;ti_Bailey;Bailey;1983-01-01;0
TINTAS;ti_Bailey;Bailey;1984-01-01;0
TINTAS;ti_Bailey;Bailey;1985-01-01;0
TINTAS;ti_Bailey;Bailey;1986-01-01;0
TINTAS;ti_Bailey;Bailey;1987-01-01;0
TINTAS;ti_Bailey;Bailey;1988-01-01;0
TINTAS;ti_Bailey;Bailey;1989-01-01;0
TINTAS;ti_Bailey;Bailey;1990-01-01;0
TINTAS;ti_Bailey;Bailey;1991-01-01;0
TINTAS;ti_Bailey;Bailey;1992-01-01;0
TINTAS;ti_Bailey;Bailey;1993-01-01;0
TINTAS;ti_Bailey;Bailey;1994-01-01;0
TINTAS;ti_Bailey;Bailey;1995-01-01;0
TINTAS;ti_Bailey;Bailey;1996-01-01;0
