classe;control;produto;ano;litros
VINHO DE MESA;vm_Tinto;Tinto;1970-01-01;174224052
VINHO DE MESA;vm_Tinto;Tinto;1971-01-01;121133369
VINHO DE MESA;vm_Tinto;Tinto;1972-01-01;118180926
VINHO DE MESA;vm_Tinto;Tinto;1973-01-01;88589019
VINHO DE MESA;vm_Tinto;Tinto;1974-01-01;146544484
VINHO DE MESA;vm_Tinto;Tinto;1975-01-01;144274134
VINHO DE MESA;vm_Tinto;Tinto;1976-01-01;118360170
VINHO DE MESA;vm_Tinto;Tinto;1977-01-01;154801826
VINHO DE MESA;vm_Tinto;Tinto;1978-01-01;162917363
VINHO DE MESA;vm_Tinto;Tinto;1979-01-01;154736439
VINHO DE MESA;vm_Tinto;Tinto;1980-01-01;101659755
VINHO DE MESA;vm_Tinto;Tinto;1981-01-01;134156175
VINHO DE MESA;vm_Tinto;Tinto;1982-01-01;183349460
VINHO DE MESA;vm_Tinto;Tinto;1983-01-01;87080528
VINHO DE MESA;vm_Tinto;Tinto;1984-01-01;119615028
VINHO DE MESA;vm_Tinto;Tinto;1985-01-01;216732390
VINHO DE MESA;vm_Tinto;Tinto;1986-01-01;118766694
VINHO DE MESA;vm_Tinto;Tinto;1987-01-01;97841160
VINHO DE MESA;vm_Tinto;Tinto;1988-01-01;173747942
VINHO DE MESA;vm_Tinto;Tinto;1989-01-01;136931173
VINHO DE MESA;vm_Tinto;Tinto;1990-01-01;154359897
VINHO DE MESA;vm_Tinto;Tinto;1991-01-01;90320836
VINHO DE MESA;vm_Tinto;Tinto;1992-01-01;118638894
VINHO DE MESA;vm_Tinto;Tinto;1993-01-01;125172218
VINHO DE MESA;vm_Tinto;Tinto;1994-01-01;161479717
VINHO DE MESA;vm_Tinto;Tinto;1995-01-01;167174017
VINHO DE MESA;vm_Tinto;Tinto;1996-01-01;115896909
VINHO DE MESA;vm_Tinto;Tinto;1997-01-01;116458841
VINHO DE MESA;vm_Tinto;Tinto;1998-01-01;102127865
VINHO DE MESA;vm_Tinto;Tinto;1999-01-01;168149414
VINHO DE MESA;vm_Tinto;Tinto;2000-01-01;208242670
VINHO DE MESA;vm_Tinto;Tinto;2001-01-01;175267437
VINHO DE MESA;vm_Tinto;Tinto;2002-01-01;215892333
VINHO DE MESA;vm_Tinto;Tinto;2003-01-01;155513687
VINHO DE MESA;vm_Tinto;Tinto;2004-01-01;254172425
VINHO DE MESA;vm_Tinto;Tinto;2005-01-01;180698666
VINHO DE MESA;vm_Tinto;Tinto;2006-01-01;149552555
VINHO DE MESA;vm_Tinto;Tinto;2007-01-01;228156220
VINHO DE MESA;vm_Tinto;Tinto;2008-01-01;241057928
VINHO DE MESA;vm_Tinto;Tinto;2009-01-01;164143454
VINHO DE MESA;vm_Tinto;Tinto;2010-01-01;157290088
VINHO DE MESA;vm_Tinto;Tinto;2011-01-01;210113358
VINHO DE MESA;vm_Tinto;Tinto;2012-01-01;175875432
VINHO DE MESA;vm_Tinto;Tinto;2013-01-01;163111797
VINHO DE MESA;vm_Tinto;Tinto;2014-01-01;157776363
VINHO DE MESA;vm_Tinto;Tinto;2015-01-01;169811472
VINHO DE MESA;vm_Tinto;Tinto;2016-01-01;75279191
VINHO DE MESA;vm_Tinto;Tinto;2017-01-01;1365957
VINHO DE MESA;vm_Tinto;Tinto;2018-01-01;188270142
VINHO DE MESA;vm_Tinto;Tinto;2019-01-01;121045115
VINHO DE MESA;vm_Tinto;Tinto;2020-01-01;103916391
VINHO DE MESA;vm_Tinto;Tinto;2021-01-01;146075996
VINHO DE MESA;vm_Tinto;Tinto;2022-01-01;162844214
VINHO DE MESA;vm_Tinto;Tinto;2023-01-01;139320884
VINHO DE MESA;vm_Branco;Branco;1970-01-01;748400
VINHO DE MESA;vm_Branco;Branco;1971-01-01;1160500
VINHO DE MESA;vm_Branco;Branco;1972-01-01;1812367
VINHO DE MESA;vm_Branco;Branco;1973-01-01;243900
VINHO DE MESA;vm_Branco;Branco;1974-01-01;4138768
VINHO DE MESA;vm_Branco;Branco;1975-01-01;1441507
VINHO DE MESA;vm_Branco;Branco;1976-01-01;1871473
VINHO DE MESA;vm_Branco;Branco;1977-01-01;4954387
VINHO DE MESA;vm_Branco;Branco;1978-01-01;5079748
VINHO DE MESA;vm_Branco;Branco;1979-01-01;7146395
VINHO DE MESA;vm_Branco;Branco;1980-01-01;5363452
VINHO DE MESA;vm_Branco;Branco;1981-01-01;12547739
VINHO DE MESA;vm_Branco;Branco;1982-01-01;15782499
VINHO DE MESA;vm_Branco;Branco;1983-01-01;12191896
VINHO DE MESA;vm_Branco;Branco;1984-01-01;19502230
VINHO DE MESA;vm_Branco;Branco;1985-01-01;23010666
VINHO DE MESA;vm_Branco;Branco;1986-01-01;16872183
VINHO DE MESA;vm_Branco;Branco;1987-01-01;27497857
VINHO DE MESA;vm_Branco;Branco;1988-01-01;32660045
VINHO DE MESA;vm_Branco;Branco;1989-01-01;24603265
VINHO DE MESA;vm_Branco;Branco;1990-01-01;33512030
VINHO DE MESA;vm_Branco;Branco;1991-01-01;25046588
VINHO DE MESA;vm_Branco;Branco;1992-01-01;25446255
VINHO DE MESA;vm_Branco;Branco;1993-01-01;31986075
VINHO DE MESA;vm_Branco;Branco;1994-01-01;28291853
VINHO DE MESA;vm_Branco;Branco;1995-01-01;15472732
VINHO DE MESA;vm_Branco;Branco;1996-01-01;24073622
VINHO DE MESA;vm_Branco;Branco;1997-01-01;41842945
VINHO DE MESA;vm_Branco;Branco;1998-01-01;32140249
VINHO DE MESA;vm_Branco;Branco;1999-01-01;42528150
VINHO DE MESA;vm_Branco;Branco;2000-01-01;44902276
VINHO DE MESA;vm_Branco;Branco;2001-01-01;44322836
VINHO DE MESA;vm_Branco;Branco;2002-01-01;35329657
VINHO DE MESA;vm_Branco;Branco;2003-01-01;40861639
VINHO DE MESA;vm_Branco;Branco;2004-01-01;51719967
VINHO DE MESA;vm_Branco;Branco;2005-01-01;39212146
VINHO DE MESA;vm_Branco;Branco;2006-01-01;31738390
VINHO DE MESA;vm_Branco;Branco;2007-01-01;42118552
VINHO DE MESA;vm_Branco;Branco;2008-01-01;42942053
VINHO DE MESA;vm_Branco;Branco;2009-01-01;39211278
VINHO DE MESA;vm_Branco;Branco;2010-01-01;35408083
VINHO DE MESA;vm_Branco;Branco;2011-01-01;46007504
VINHO DE MESA;vm_Branco;Branco;2012-01-01;34938249
VINHO DE MESA;vm_Branco;Branco;2013-01-01;32066403
VINHO DE MESA;vm_Branco;Branco;2014-01-01;37438069
VINHO DE MESA;vm_Branco;Branco;2015-01-01;39557250
VINHO DE MESA;vm_Branco;Branco;2016-01-01;10727099
VINHO DE MESA;vm_Branco;Branco;2017-01-01;217527985
VINHO DE MESA;vm_Branco;Branco;2018-01-01;29229970
VINHO DE MESA;vm_Branco;Branco;2019-01-01;22032828
VINHO DE MESA;vm_Branco;Branco;2020-01-01;19568734
VINHO DE MESA;vm_Branco;Branco;2021-01-01;26432799
VINHO DE MESA;vm_Branco;Branco;2022-01-01;30198430
VINHO DE MESA;vm_Branco;Branco;2023-01-01;27910299
VINHO DE MESA;vm_Rosado;Rosado;1970-01-01;42236152
VINHO DE MESA;vm_Rosado;Rosado;1971-01-01;31970782
VINHO DE MESA;vm_Rosado;Rosado;1972-01-01;26960004
VINHO DE MESA;vm_Rosado;Rosado;1973-01-01;27877426
VINHO DE MESA;vm_Rosado;Rosado;1974-01-01;43192093
VINHO DE MESA;vm_Rosado;Rosado;1975-01-01;31685568
VINHO DE MESA;vm_Rosado;Rosado;1976-01-01;24333795
VINHO DE MESA;vm_Rosado;Rosado;1977-01-01;35603565
VINHO DE MESA;vm_Rosado;Rosado;1978-01-01;32056558
VINHO DE MESA;vm_Rosado;Rosado;1979-01-01;49370148
VINHO DE MESA;vm_Rosado;Rosado;1980-01-01;23284978
VINHO DE MESA;vm_Rosado;Rosado;1981-01-01;39425814
VINHO DE MESA;vm_Rosado;Rosado;1982-01-01;35622605
VINHO DE MESA;vm_Rosado;Rosado;1983-01-01;20989120
VINHO DE MESA;vm_Rosado;Rosado;1984-01-01;38563073
VINHO DE MESA;vm_Rosado;Rosado;1985-01-01;35595899
VINHO DE MESA;vm_Rosado;Rosado;1986-01-01;22072645
VINHO DE MESA;vm_Rosado;Rosado;1987-01-01;25128167
VINHO DE MESA;vm_Rosado;Rosado;1988-01-01;38383071
VINHO DE MESA;vm_Rosado;Rosado;1989-01-01;20267523
VINHO DE MESA;vm_Rosado;Rosado;1990-01-01;22676272
VINHO DE MESA;vm_Rosado;Rosado;1991-01-01;11400830
VINHO DE MESA;vm_Rosado;Rosado;1992-01-01;19163270
VINHO DE MESA;vm_Rosado;Rosado;1993-01-01;14596702
VINHO DE MESA;vm_Rosado;Rosado;1994-01-01;12301693
VINHO DE MESA;vm_Rosado;Rosado;1995-01-01;32141555
VINHO DE MESA;vm_Rosado;Rosado;1996-01-01;12947240
VINHO DE MESA;vm_Rosado;Rosado;1997-01-01;24514261
VINHO DE MESA;vm_Rosado;Rosado;1998-01-01;16546829
VINHO DE MESA;vm_Rosado;Rosado;1999-01-01;15843212
VINHO DE MESA;vm_Rosado;Rosado;2000-01-01;19880630
VINHO DE MESA;vm_Rosado;Rosado;2001-01-01;9342185
VINHO DE MESA;vm_Rosado;Rosado;2002-01-01;8367750
VINHO DE MESA;vm_Rosado;Rosado;2003-01-01;6170398
VINHO DE MESA;vm_Rosado;Rosado;2004-01-01;8069892
VINHO DE MESA;vm_Rosado;Rosado;2005-01-01;6169620
VINHO DE MESA;vm_Rosado;Rosado;2006-01-01;3809942
VINHO DE MESA;vm_Rosado;Rosado;2007-01-01;5013136
VINHO DE MESA;vm_Rosado;Rosado;2008-01-01;3506830
VINHO DE MESA;vm_Rosado;Rosado;2009-01-01;2063474
VINHO DE MESA;vm_Rosado;Rosado;2010-01-01;2569809
VINHO DE MESA;vm_Rosado;Rosado;2011-01-01;1719887
